  0%|                                                   | 0/339684 [00:00<?, ?it/s]C:\Users\omrid\miniconda3\envs\INTELEXSUS\Lib\site-packages\torch\nn\modules\module.py:1747: FutureWarning: `encoder_attention_mask` is deprecated and will be removed in version 4.55.0 for `BertSdpaSelfAttention.forward`.
  return forward_call(*args, **kwargs)
                                                                                   
{'loss': 64.5989, 'grad_norm': 7.288284778594971, 'learning_rate': 3.090962614071239e-08, 'epoch': 0.0}
{'loss': 33.9273, 'grad_norm': 7.054927825927734, 'learning_rate': 6.255519576096556e-08, 'epoch': 0.0}
{'loss': 44.9936, 'grad_norm': 7.766153812408447, 'learning_rate': 9.420076538121872e-08, 'epoch': 0.0}
{'loss': 128.7894, 'grad_norm': 7.186606407165527, 'learning_rate': 1.258463350014719e-07, 'epoch': 0.0}
{'loss': 52.0103, 'grad_norm': 7.567139625549316, 'learning_rate': 1.5749190462172506e-07, 'epoch': 0.0}
{'loss': 49.0084, 'grad_norm': 6.896615982055664, 'learning_rate': 1.891374742419782e-07, 'epoch': 0.0}
{'loss': 126.0294, 'grad_norm': 7.084580421447754, 'learning_rate': 2.207830438622314e-07, 'epoch': 0.0}
{'loss': 60.0596, 'grad_norm': 7.219183444976807, 'learning_rate': 2.5242861348248457e-07, 'epoch': 0.0}
{'loss': 56.4686, 'grad_norm': 7.4333577156066895, 'learning_rate': 2.840741831027377e-07, 'epoch': 0.0}
{'loss': 56.7695, 'grad_norm': 6.261067867279053, 'learning_rate': 3.1571975272299087e-07, 'epoch': 0.0}
{'loss': 93.4821, 'grad_norm': 6.191483974456787, 'learning_rate': 3.4736532234324405e-07, 'epoch': 0.0}
{'loss': 65.6358, 'grad_norm': 5.991807460784912, 'learning_rate': 3.7901089196349723e-07, 'epoch': 0.0}
{'loss': 102.261, 'grad_norm': 6.0976104736328125, 'learning_rate': 4.1065646158375036e-07, 'epoch': 0.0}
{'loss': 55.2348, 'grad_norm': 5.958896636962891, 'learning_rate': 4.423020312040036e-07, 'epoch': 0.01}
{'loss': 98.7634, 'grad_norm': 5.282394886016846, 'learning_rate': 4.7394760082425666e-07, 'epoch': 0.01}
{'loss': 44.5918, 'grad_norm': 4.9045939445495605, 'learning_rate': 5.055931704445098e-07, 'epoch': 0.01}
{'loss': 30.8901, 'grad_norm': 5.215367794036865, 'learning_rate': 5.37238740064763e-07, 'epoch': 0.01}
{'loss': 96.4512, 'grad_norm': 5.566826343536377, 'learning_rate': 5.688843096850162e-07, 'epoch': 0.01}
{'loss': 24.3226, 'grad_norm': 4.803714275360107, 'learning_rate': 6.005298793052694e-07, 'epoch': 0.01}
{'loss': 66.1063, 'grad_norm': 5.863934516906738, 'learning_rate': 6.321754489255226e-07, 'epoch': 0.01}
{'loss': 139.4074, 'grad_norm': 5.15248966217041, 'learning_rate': 6.638210185457757e-07, 'epoch': 0.01}
{'loss': 62.8176, 'grad_norm': 5.000412940979004, 'learning_rate': 6.954665881660288e-07, 'epoch': 0.01}
