                                                                                                                                                 
{'loss': 10.3728, 'grad_norm': 16.170019149780273, 'learning_rate': 4.9953333333333335e-05, 'epoch': 0.2}
{'loss': 10.1548, 'grad_norm': 11.745241165161133, 'learning_rate': 4.989333333333334e-05, 'epoch': 0.4}
{'loss': 10.1571, 'grad_norm': 19.29281234741211, 'learning_rate': 4.982666666666667e-05, 'epoch': 0.6}
{'loss': 10.0815, 'grad_norm': 0.0, 'learning_rate': 4.976e-05, 'epoch': 0.8}
{'loss': 7.5339, 'grad_norm': 18.46355438232422, 'learning_rate': 4.9693333333333334e-05, 'epoch': 1.0}
{'loss': 9.8379, 'grad_norm': 0.0, 'learning_rate': 4.962666666666667e-05, 'epoch': 1.2}
{'loss': 9.4028, 'grad_norm': 17.036680221557617, 'learning_rate': 4.956e-05, 'epoch': 1.4}
{'loss': 9.1253, 'grad_norm': 17.131155014038086, 'learning_rate': 4.9493333333333336e-05, 'epoch': 1.6}
{'loss': 9.8652, 'grad_norm': 17.04163932800293, 'learning_rate': 4.942666666666667e-05, 'epoch': 1.8}
{'loss': 9.3004, 'grad_norm': 0.0, 'learning_rate': 4.936e-05, 'epoch': 2.0}
{'loss': 9.7051, 'grad_norm': 16.485912322998047, 'learning_rate': 4.929333333333334e-05, 'epoch': 2.2}
{'loss': 9.3216, 'grad_norm': 11.567900657653809, 'learning_rate': 4.9226666666666674e-05, 'epoch': 2.4}
{'loss': 8.8233, 'grad_norm': 20.93326759338379, 'learning_rate': 4.9160000000000004e-05, 'epoch': 2.6}
{'loss': 8.7781, 'grad_norm': 23.111560821533203, 'learning_rate': 4.909333333333333e-05, 'epoch': 2.8}
{'loss': 6.0919, 'grad_norm': 21.190032958984375, 'learning_rate': 4.902666666666667e-05, 'epoch': 3.0}
{'loss': 7.4927, 'grad_norm': 12.450733184814453, 'learning_rate': 4.896e-05, 'epoch': 3.2}
{'loss': 8.3089, 'grad_norm': 0.0, 'learning_rate': 4.8893333333333335e-05, 'epoch': 3.4}
{'loss': 6.0749, 'grad_norm': 24.24042510986328, 'learning_rate': 4.882666666666667e-05, 'epoch': 3.6}
{'loss': 8.1921, 'grad_norm': 10.17439079284668, 'learning_rate': 4.876e-05, 'epoch': 3.8}
{'loss': 8.221, 'grad_norm': 12.713783264160156, 'learning_rate': 4.869333333333334e-05, 'epoch': 4.0}
{'loss': 8.3799, 'grad_norm': 21.74736785888672, 'learning_rate': 4.862666666666667e-05, 'epoch': 4.2}
{'loss': 6.7752, 'grad_norm': 21.142606735229492, 'learning_rate': 4.856e-05, 'epoch': 4.4}
{'loss': 8.349, 'grad_norm': 0.0, 'learning_rate': 4.849333333333333e-05, 'epoch': 4.6}
{'loss': 7.7958, 'grad_norm': 14.570772171020508, 'learning_rate': 4.842666666666667e-05, 'epoch': 4.8}
{'loss': 7.4056, 'grad_norm': 12.505024909973145, 'learning_rate': 4.836e-05, 'epoch': 5.0}
{'loss': 7.8087, 'grad_norm': 14.608946800231934, 'learning_rate': 4.8293333333333334e-05, 'epoch': 5.2}
{'loss': 6.4007, 'grad_norm': 0.0, 'learning_rate': 4.822666666666667e-05, 'epoch': 5.4}
{'loss': 7.3149, 'grad_norm': 0.0, 'learning_rate': 4.816e-05, 'epoch': 5.6}
{'loss': 8.0503, 'grad_norm': 11.850408554077148, 'learning_rate': 4.8093333333333336e-05, 'epoch': 5.8}
{'loss': 5.8484, 'grad_norm': 19.41623306274414, 'learning_rate': 4.802666666666667e-05, 'epoch': 6.0}
{'loss': 6.3836, 'grad_norm': 20.843942642211914, 'learning_rate': 4.796e-05, 'epoch': 6.2}
{'loss': 6.1465, 'grad_norm': 20.72193717956543, 'learning_rate': 4.789333333333334e-05, 'epoch': 6.4}
{'loss': 6.6341, 'grad_norm': 11.58531665802002, 'learning_rate': 4.782666666666667e-05, 'epoch': 6.6}
{'loss': 6.8903, 'grad_norm': 14.653133392333984, 'learning_rate': 4.7760000000000004e-05, 'epoch': 6.8}
{'loss': 6.6806, 'grad_norm': 14.109304428100586, 'learning_rate': 4.769333333333333e-05, 'epoch': 7.0}
{'loss': 6.1285, 'grad_norm': 20.439096450805664, 'learning_rate': 4.762666666666667e-05, 'epoch': 7.2}
{'loss': 6.6142, 'grad_norm': 20.252954483032227, 'learning_rate': 4.7560000000000005e-05, 'epoch': 7.4}
{'loss': 6.612, 'grad_norm': 0.0, 'learning_rate': 4.7493333333333335e-05, 'epoch': 7.6}
{'loss': 5.6719, 'grad_norm': 21.54218292236328, 'learning_rate': 4.742666666666667e-05, 'epoch': 7.8}
{'loss': 6.3368, 'grad_norm': 14.321819305419922, 'learning_rate': 4.736000000000001e-05, 'epoch': 8.0}
{'loss': 6.4125, 'grad_norm': 19.948944091796875, 'learning_rate': 4.729333333333334e-05, 'epoch': 8.2}
{'loss': 5.0659, 'grad_norm': 11.847084999084473, 'learning_rate': 4.7226666666666666e-05, 'epoch': 8.4}
{'loss': 5.9657, 'grad_norm': 0.0, 'learning_rate': 4.716e-05, 'epoch': 8.6}
{'loss': 6.5287, 'grad_norm': 13.234392166137695, 'learning_rate': 4.709333333333333e-05, 'epoch': 8.8}
{'loss': 6.1781, 'grad_norm': 13.157079696655273, 'learning_rate': 4.702666666666667e-05, 'epoch': 9.0}
{'loss': 5.957, 'grad_norm': 20.648469924926758, 'learning_rate': 4.6960000000000004e-05, 'epoch': 9.2}
{'loss': 6.0106, 'grad_norm': 14.777827262878418, 'learning_rate': 4.6893333333333334e-05, 'epoch': 9.4}
{'loss': 4.4363, 'grad_norm': 20.68694305419922, 'learning_rate': 4.682666666666667e-05, 'epoch': 9.6}
